Question,Correct_Answer,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,textWelcome.started,polygonStart.started,text_ButtonStart.started,mouseStart.started,WelcomeScreen.stopped,baseline_Instructions.started,baseline_typing.started,polygonBaseline.started,textBaseline_Start.started,mouse_Instruc.started,baseline_Instructions.stopped,mouse_Instruc.x,mouse_Instruc.y,mouse_Instruc.leftButton,mouse_Instruc.midButton,mouse_Instruc.rightButton,mouse_Instruc.time,mouse_Instruc.clicked_name,ParagraphTyping.started,baseline_Paragraph.started,textbox_baseline_input.started,textClocktimer.started,ParagraphTyping.stopped,textbox_baseline_input.text,Task.started,text_Taskquestion.started,textbox_answer.started,key_respTask.started,TaskCounter.started,participant,Language Proficiency,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,True,0.2274569999999585,0.24679339999966032,0.24679339999966032,0.24679339999966032,0.22748160000037387,1.0009253999996872,,,,,,,,,,,,,,,,,,,,,,,,,pilot,Professional Native,2026-09-24_10h41.31.218,ArabicTask,,2026.1.3,2026-09-24 10h41.31.679979 +0800,
,,,,,,,,,,,,,,,,,,1.0009667999997873,1.013170700000046,1.013170700000046,1.013170700000046,3.890000016326667e-05,1.433412800000042,[0.05333333333333334],[-0.31],[1],[0],[0],[0.4322965999999724],['polygonBaseline'],,,,,,,,,,,,pilot,Professional Native,2026-09-24_10h41.31.218,ArabicTask,,2026.1.3,2026-09-24 10h41.31.679979 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4336323999996239,1.4639390999996067,1.4639390999996067,1.4639390999996067,31.449045099999694,,,,,,,pilot,Professional Native,2026-09-24_10h41.31.218,ArabicTask,,2026.1.3,2026-09-24 10h41.31.679979 +0800,
(مشى) + مجزوم,يمش,0,0,0,0,0,0,1,31.494307099999787,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.476156400000036,31.494307099999787,31.494307099999787,31.494307099999787,31.494307099999787,,,,,,,,
