thisRow.t,notes,piloting,WelcomeScreen.started,textWelcome.started,polygonStart.started,text_ButtonStart.started,mouseStart.started,WelcomeScreen.stopped,baseline_Instructions.started,baseline_typing.started,polygonBaseline.started,textBaseline_Start.started,mouse_Instruc.started,baseline_Instructions.stopped,mouse_Instruc.x,mouse_Instruc.y,mouse_Instruc.leftButton,mouse_Instruc.midButton,mouse_Instruc.rightButton,mouse_Instruc.time,mouse_Instruc.clicked_name,ParagraphTyping.started,baseline_Paragraph.started,textbox_baseline_input.started,textClocktimer.started,participant,Language Proficiency,date,expName,expVersion,psychopyVersion,expStart,
,,True,0.2069482000079006,0.22752179999952205,0.22752179999952205,0.22752179999952205,0.20696660000248812,1.0474011999904178,,,,,,,,,,,,,,,,,,pilot,Professional Native,2026-08-06_10h45.40.269,ArabicTask,,2026.1.3,2026-08-06 10h45.40.703958 +0800,
,,,,,,,,,1.0474391000170726,1.060321600001771,1.060321600001771,1.060321600001771,3.4199998481199145e-05,1.4646921000094153,[-0.016666666666666666],[-0.2733333333333333],[1],[0],[0],[0.4171077999926638],['polygonBaseline'],,,,,pilot,Professional Native,2026-08-06_10h45.40.269,ArabicTask,,2026.1.3,2026-08-06 10h45.40.703958 +0800,
,,,,,,,,,,,,,,,,,,,,,,1.4649229999922682,1.494293399999151,1.494293399999151,1.494293399999151,,,,,,,,
